EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:33:40	0	0.1000	0.1914018661565603	0.08133202791213989	0.6867	0.7503	0.7171	0.5678
2	00:35:25	0	0.1000	0.0850567332468442	0.06411495059728622	0.8844	0.6428	0.7445	0.5936
3	00:37:15	0	0.1000	0.07327615571089247	0.0650920644402504	0.8161	0.7021	0.7548	0.6154
4	00:39:05	1	0.1000	0.06580473845779615	0.06085355952382088	0.8475	0.6663	0.746	0.6002
5	00:39:39	0	0.1000	0.06188907853785284	0.05354040861129761	0.8778	0.6749	0.7631	0.6176
6	00:41:35	0	0.1000	0.05703414947405101	0.05641736462712288	0.7703	0.8208	0.7947	0.6627
7	00:43:27	0	0.1000	0.05458673078277347	0.046448979526758194	0.9015	0.7244	0.8033	0.6728
8	00:45:19	1	0.1000	0.051855909764650036	0.07052558660507202	0.9524	0.5439	0.6924	0.5295
9	00:45:54	0	0.1000	0.05022649214808048	0.04860253259539604	0.8076	0.8146	0.8111	0.6836
10	00:47:46	0	0.1000	0.04709662958893717	0.04199076071381569	0.8762	0.796	0.8342	0.7179
11	00:49:42	1	0.1000	0.04638428571689097	0.04328082874417305	0.8916	0.7726	0.8278	0.7078
12	00:50:16	2	0.1000	0.04455584818392447	0.0459553487598896	0.864	0.801	0.8313	0.7152
13	00:50:49	3	0.1000	0.04301245253525031	0.04169639199972153	0.8823	0.7874	0.8321	0.7141
14	00:51:22	0	0.1000	0.040679296531306676	0.04499749466776848	0.8915	0.7923	0.839	0.7243
15	00:53:14	0	0.1000	0.03907769878520542	0.04108170047402382	0.8979	0.8047	0.8488	0.7398
16	00:55:05	1	0.1000	0.03785157503779224	0.050221122801303864	0.9398	0.733	0.8236	0.7009
17	00:55:38	2	0.1000	0.03817833796010015	0.040804509073495865	0.8946	0.7973	0.8431	0.7305
18	00:56:10	0	0.1000	0.038770344233765894	0.04039642959833145	0.9092	0.8047	0.8538	0.7466
19	00:57:58	1	0.1000	0.03563614934134331	0.04231717810034752	0.9241	0.7824	0.8474	0.736
20	00:58:32	2	0.1000	0.03503203160421455	0.04043104499578476	0.8943	0.8158	0.8533	0.7458
21	00:59:05	0	0.1000	0.036412672681346625	0.03979866951704025	0.8854	0.8405	0.8624	0.7598